stages,map,team,player_name,player_steamid,side,Kills,Assists,Deaths,Smokes Thrown,Molotovs Thrown,Grenades,Headshots,Rounds Played,Headshot %
Quarterfinals,Inferno,FURIA Esports,yuurih,76561198164970560,Both,19.0,6.0,19.0,7.0,11.0,2.0,7.0,29.0,36.84
Quarterfinals,Inferno,FaZe Clan,Twistzz,76561198016255205,Counter Terrorist,14.0,3.0,4.0,8.0,10.0,4.0,7.0,12.0,50.0
Quarterfinals,Inferno,FaZe Clan,Twistzz,76561198016255205,Terrorist,2.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,50.0
Quarterfinals,Inferno,FaZe Clan,Twistzz,76561198016255205,Both,16.0,3.0,5.0,10.0,11.0,4.0,8.0,15.0,50.0
Quarterfinals,Inferno,FaZe Clan,broky,76561198201620490,Counter Terrorist,12.0,3.0,6.0,8.0,9.0,4.0,1.0,12.0,8.33
Quarterfinals,Inferno,FaZe Clan,broky,76561198201620490,Terrorist,5.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,80.0
Quarterfinals,Inferno,FaZe Clan,broky,76561198201620490,Both,17.0,4.0,6.0,9.0,9.0,5.0,5.0,15.0,29.41
Quarterfinals,Inferno,FaZe Clan,frozen,76561198068422762,Counter Terrorist,15.0,5.0,5.0,6.0,13.0,9.0,8.0,12.0,53.33
Quarterfinals,Inferno,FaZe Clan,frozen,76561198068422762,Terrorist,4.0,0.0,1.0,1.0,1.0,0.0,4.0,3.0,100.0
Quarterfinals,Inferno,FaZe Clan,frozen,76561198068422762,Both,19.0,5.0,6.0,7.0,14.0,9.0,12.0,15.0,63.16
Quarterfinals,Inferno,FaZe Clan,jcobbb,76561198178737429,Counter Terrorist,8.0,2.0,8.0,6.0,14.0,3.0,7.0,12.0,87.5
Quarterfinals,Inferno,FaZe Clan,jcobbb,76561198178737429,Terrorist,3.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,100.0
Quarterfinals,Inferno,FaZe Clan,jcobbb,76561198178737429,Both,11.0,2.0,8.0,6.0,16.0,3.0,10.0,15.0,90.91
Quarterfinals,Inferno,FaZe Clan,karrigan,76561197989430253,Counter Terrorist,7.0,4.0,7.0,4.0,15.0,10.0,3.0,12.0,42.86
Quarterfinals,Inferno,FaZe Clan,karrigan,76561197989430253,Terrorist,1.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0
Quarterfinals,Inferno,FaZe Clan,karrigan,76561197989430253,Both,8.0,6.0,8.0,5.0,15.0,10.0,3.0,15.0,37.5
Quarterfinals,Inferno,MOUZ,Brollan,76561198138828475,Counter Terrorist,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0
Quarterfinals,Inferno,MOUZ,Brollan,76561198138828475,Terrorist,1.0,1.0,12.0,6.0,4.0,2.0,0.0,12.0,0.0
Quarterfinals,Inferno,MOUZ,Brollan,76561198138828475,Both,1.0,1.0,15.0,6.0,4.0,2.0,0.0,15.0,0.0
Quarterfinals,Inferno,MOUZ,Jimpphat,76561198855375325,Counter Terrorist,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0
